*_*********꧁鑫҉磊҉直҉播҉源꧂*********_*
______      _               _  _          
| ___ \    | |             | || |         
| |_/ /___ | |_  _ __  ___ | || |_ __   __
|  __// _ \| __|| '__|/ _ \| || __|\ \ / /
| |  |  __/| |_ | |  |  __/| || |_  \ V / 
\_|   \___| \__||_|   \___||_| \__|  \_/  
//免费软件꙰严禁商业꙰仅供测试꙰违者自负!꙰//
//如果你抓包了获取到了直播源,请自用,别公开,谢谢！//

--綫路壹4GTV--
🌏綜合其他,#genre#
中視 HD,http://nmk.ioapk.com:5050/4gtv-4gtv040/index.m3u8?proxy=true
中視 HD,http://nmk.ioapk.com:5050/li-4gtv-4gtv040/index.m3u8?proxy=true
中視 HD,http://nmk.ioapk.com:5050/of-4gtv-4gtv040/index.m3u8?proxy=true
華視 HD,http://nmk.ioapk.com:5050/4gtv-4gtv041/index.m3u8?proxy=true
華視 HD,http://nmk.ioapk.com:5050/li-4gtv-4gtv041/index.m3u8?proxy=true
華視 HD,http://nmk.ioapk.com:5050/of-4gtv-4gtv041/index.m3u8?proxy=true
台視 HD,http://nmk.ioapk.com:5050/4gtv-4gtv066/index.m3u8?proxy=true
台視 HD,http://nmk.ioapk.com:5050/li-4gtv-4gtv066/index.m3u8?proxy=true
民視 HD,http://nmk.ioapk.com:5050/4gtv-4gtv002/index.m3u8?proxy=true
TVBS HD,http://nmk.ioapk.com:5050/4gtv-4gtv073/index.m3u8?proxy=true
TVBS HD,http://nmk.ioapk.com:5050/li-4gtv-4gtv073/index.m3u8?proxy=true
中天亞洲台,http://nmk.ioapk.com:5050/4gtv-4gtv109/index.m3u8?proxy=true
中視菁采台,http://nmk.ioapk.com:5050/4gtv-4gtv064/index.m3u8?proxy=true
中視菁采台,http://nmk.ioapk.com:5050/li-4gtv-4gtv064/index.m3u8?proxy=true
民視第一台,http://nmk.ioapk.com:5050/4gtv-4gtv003/index.m3u8?proxy=true
民視第一台,http://nmk.ioapk.com:5050/li-4gtv-4gtv003/index.m3u8?proxy=true
民視台灣台,http://nmk.ioapk.com:5050/4gtv-4gtv001/index.m3u8?proxy=true
民視台灣台,http://nmk.ioapk.com:5050/li-4gtv-4gtv001/index.m3u8?proxy=true
大愛電視,http://nmk.ioapk.com:5050/4gtv-live007/index.m3u8?proxy=true
大愛二台,http://nmk.ioapk.com:5050/4gtv-live106/index.m3u8?proxy=true
人間衛視,http://nmk.ioapk.com:5050/4gtv-live008/index.m3u8?proxy=true
國會頻道1,http://nmk.ioapk.com:5050/4gtv-4gtv084/index.m3u8?proxy=true
國會頻道1,http://nmk.ioapk.com:5050/li-4gtv-4gtv084/index.m3u8?proxy=true
國會頻道1,http://nmk.ioapk.com:5050/of-4gtv-4gtv084/index.m3u8?proxy=true
國會頻道2,http://nmk.ioapk.com:5050/4gtv-4gtv085/index.m3u8?proxy=true
國會頻道2,http://nmk.ioapk.com:5050/li-4gtv-4gtv085/index.m3u8?proxy=true
國會頻道2,http://nmk.ioapk.com:5050/of-4gtv-4gtv085/index.m3u8?proxy=true
好消息1台,http://nmk.ioapk.com:5050/litv-ftv16/index.m3u8?proxy=true
好消息1台,http://nmk.ioapk.com:5050/li-litv-ftv16/index.m3u8?proxy=true
好消息1台,http://nmk.ioapk.com:5050/of-litv-ftv16/index.m3u8?proxy=true
好消息2台,http://nmk.ioapk.com:5050/litv-ftv17/index.m3u8?proxy=true
好消息2台,http://nmk.ioapk.com:5050/li-litv-ftv17/index.m3u8?proxy=true
好消息2台,http://nmk.ioapk.com:5050/of-litv-ftv17/index.m3u8?proxy=true
三立綜合台,http://nmk.ioapk.com:5050/4gtv-live207/index.m3u8?proxy=true
靖天綜合台,http://nmk.ioapk.com:5050/4gtv-4gtv046/index.m3u8?proxy=true
靖天綜合台,http://nmk.ioapk.com:5050/li-4gtv-4gtv046/index.m3u8?proxy=true
靖天日本台,http://nmk.ioapk.com:5050/4gtv-4gtv047/index.m3u8?proxy=true
靖天日本台,http://nmk.ioapk.com:5050/li-4gtv-4gtv047/index.m3u8?proxy=true
靖天育樂台,http://nmk.ioapk.com:5050/4gtv-4gtv062/index.m3u8?proxy=true
靖天育樂台,http://nmk.ioapk.com:5050/li-4gtv-4gtv062/index.m3u8?proxy=true
靖天資訊台,http://nmk.ioapk.com:5050/4gtv-4gtv065/index.m3u8?proxy=true
靖天資訊台,http://nmk.ioapk.com:5050/li-4gtv-4gtv065/index.m3u8?proxy=true
客家電視台,http://nmk.ioapk.com:5050/4gtv-4gtv043/index.m3u8?proxy=true
客家電視台,http://nmk.ioapk.com:5050/li-4gtv-4gtv043/index.m3u8?proxy=true
東森購物一台,http://nmk.ioapk.com:5050/4gtv-live047/index.m3u8?proxy=true
東森購物一台,http://nmk.ioapk.com:5050/4gtv-4gtv102/index.m3u8?proxy=true
東森購物一台,http://nmk.ioapk.com:5050/of-4gtv-4gtv102/index.m3u8?proxy=true
東森購物二台,http://nmk.ioapk.com:5050/4gtv-live046/index.m3u8?proxy=true
東森購物二台,http://nmk.ioapk.com:5050/4gtv-4gtv103/index.m3u8?proxy=true
東森購物二台,http://nmk.ioapk.com:5050/of-4gtv-4gtv103/index.m3u8?proxy=true
東森購物三台,http://nmk.ioapk.com:5050/4gtv-live048/index.m3u8?proxy=true
東森購物四台,http://nmk.ioapk.com:5050/4gtv-live049/index.m3u8?proxy=true
新唐人亞太台,http://nmk.ioapk.com:5050/4gtv-live050/index.m3u8?proxy=true
原住民族電視台,http://nmk.ioapk.com:5050/4gtv-live014/index.m3u8?proxy=true
KMTV韓國娛樂台,http://nmk.ioapk.com:5050/4gtv-4gtv016/index.m3u8?proxy=true
KMTV韓國娛樂台,http://nmk.ioapk.com:5050/li-4gtv-4gtv016/index.m3u8?proxy=true
KLT 靖天國際台,http://nmk.ioapk.com:5050/4gtv-4gtv063/index.m3u8?proxy=true
KLT 靖天國際台,http://nmk.ioapk.com:5050/li-4gtv-4gtv063/index.m3u8?proxy=true
Nice TV 靖天歡樂台,http://nmk.ioapk.com:5050/4gtv-4gtv054/index.m3u8?proxy=true
Nice TV 靖天歡樂台,http://nmk.ioapk.com:5050/li-4gtv-4gtv054/index.m3u8?proxy=true
ARIRANG 阿里郎頻道,http://nmk.ioapk.com:5050/4gtv-4gtv079/index.m3u8?proxy=true
ARIRANG 阿里郎頻道,http://nmk.ioapk.com:5050/li-4gtv-4gtv079/index.m3u8?proxy=true

🎬電影戲劇,#genre#
中視經典台,http://nmk.ioapk.com:5050/4gtv-4gtv080/index.m3u8?proxy=true
中視經典台,http://nmk.ioapk.com:5050/li-4gtv-4gtv080/index.m3u8?proxy=true
民視影劇台,http://nmk.ioapk.com:5050/litv-ftv09/index.m3u8?proxy=true
民視影劇台,http://nmk.ioapk.com:5050/li-litv-ftv09/index.m3u8?proxy=true
公視戲劇台,http://nmk.ioapk.com:5050/4gtv-4gtv042/index.m3u8?proxy=true
公視戲劇台,http://nmk.ioapk.com:5050/li-4gtv-4gtv042/index.m3u8?proxy=true
靖天戲劇台,http://nmk.ioapk.com:5050/4gtv-4gtv058/index.m3u8?proxy=true
靖天戲劇台,http://nmk.ioapk.com:5050/li-4gtv-4gtv058/index.m3u8?proxy=true
靖洋戲劇台,http://nmk.ioapk.com:5050/4gtv-4gtv045/index.m3u8?proxy=true
靖洋戲劇台,http://nmk.ioapk.com:5050/li-4gtv-4gtv045/index.m3u8?proxy=true
采昌影劇台,http://nmk.ioapk.com:5050/4gtv-4gtv049/index.m3u8?proxy=true
采昌影劇台,http://nmk.ioapk.com:5050/li-4gtv-4gtv049/index.m3u8?proxy=true
靖天電影台,http://nmk.ioapk.com:5050/4gtv-4gtv061/index.m3u8?proxy=true
靖天電影台,http://nmk.ioapk.com:5050/li-4gtv-4gtv061/index.m3u8?proxy=true
靖天映畫台,http://nmk.ioapk.com:5050/4gtv-4gtv055/index.m3u8?proxy=true
靖天映畫台,http://nmk.ioapk.com:5050/li-4gtv-4gtv055/index.m3u8?proxy=true
經典電影台,http://nmk.ioapk.com:5050/4gtv-live021/index.m3u8?proxy=true
龍華電影台,http://nmk.ioapk.com:5050/litv-longturn03/index.m3u8?proxy=true
龍華電影台,http://nmk.ioapk.com:5050/li-litv-longturn03/index.m3u8?proxy=true
龍華洋片台,http://nmk.ioapk.com:5050/litv-longturn02/index.m3u8?proxy=true
龍華洋片台,http://nmk.ioapk.com:5050/li-litv-longturn02/index.m3u8?proxy=true
龍華日韓台,http://nmk.ioapk.com:5050/litv-longturn11/index.m3u8?proxy=true
龍華日韓台,http://nmk.ioapk.com:5050/li-litv-longturn11/index.m3u8?proxy=true
龍華偶像台,http://nmk.ioapk.com:5050/litv-longturn12/index.m3u8?proxy=true
龍華偶像台,http://nmk.ioapk.com:5050/li-litv-longturn12/index.m3u8?proxy=true
龍華戲劇台,http://nmk.ioapk.com:5050/litv-longturn18/index.m3u8?proxy=true
龍華戲劇台,http://nmk.ioapk.com:5050/li-litv-longturn18/index.m3u8?proxy=true
龍華經典台,http://nmk.ioapk.com:5050/litv-longturn21/index.m3u8?proxy=true
龍華經典台,http://nmk.ioapk.com:5050/li-litv-longturn21/index.m3u8?proxy=true
台灣戲劇台,http://nmk.ioapk.com:5050/li-litv-longturn22/index.m3u8?proxy=true
