*_*********꧁鑫҉磊҉直҉播҉源꧂*********_*
______      _               _  _          
| ___ \    | |             | || |         
| |_/ /___ | |_  _ __  ___ | || |_ __   __
|  __// _ \| __|| '__|/ _ \| || __|\ \ / /
| |  |  __/| |_ | |  |  __/| || |_  \ V / 
\_|   \___| \__||_|   \___||_| \__|  \_/  
//免费软件꙰严禁商业꙰仅供测试꙰违者自负!꙰//
//如果你抓包了获取到了直播源,请自用,别公开,谢谢！//

中国,#genre#
中国|CCTV-1 综合,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv1
中国|CCTV-2 财经,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv2
中国|CCTV-3 综艺,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv3
中国|CCTV-4 中文国际,http://smt.iktv.ddns-ip.net/Smart.php?id=Cctv4
中国|CCTV-4 中文国际,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv4
中国|CCTV-5 体育,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv5
中国|CCTV-6 电影,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv6
中国|CCTV-7 国防军事,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv7
中国|CCTV-8 电视剧,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv8hd
中国|CCTV-9 记录,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv9hd
中国|CCTV-10 科教,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv10hd
中国|CCTV-11 戏曲,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv11
中国|CCTV-12 社会与法,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv12
中国|CCTV-13 新闻,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv13
中国|CCTV-14 少儿,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv14
中国|CCTV-15 音乐,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv15
中国|CCTV-16 奥林匹克,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv16
